run_id,city,city_slug,cell_id,hotspot_rank,p50,p10,p90,relative_uncertainty,confidence_score,confidence_band,hotspot_priority_class,stability_reason,planning_use_case
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z949,72,1776.8985004500923,1760.486658871842,1846.669013601316,0.0485015630930205,0.7334136587755795,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z401,76,1774.4365485509395,1738.2833576401847,1858.7256054418167,0.067876333983308,0.7105259925104962,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z800,78,1772.536970323635,1752.5962089258912,1830.6776132462885,0.0440506492263124,0.7386715806231569,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1335,79,1771.2883684612143,1748.2809772332307,1824.0842662744424,0.0427955664311538,0.7401542260858208,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1008,80,1767.69625037888,1737.5373413252014,1844.6953389393136,0.060620141945283,0.7190978255743352,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1341,81,1765.991573522759,1740.428653230519,1824.1150649472952,0.0473877752144878,0.7347293907343369,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z957,82,1765.589942532083,1702.5704826250178,1798.9190859172336,0.0545702039704867,0.7262446951851137,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z956,83,1765.400072690375,1734.5337710540814,1785.4978091667915,0.0288682655569644,0.7566067258953358,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z708,84,1763.7855381179222,1725.4131725331567,1856.8130925643443,0.0744988079284288,0.7027027787876894,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z894,85,1763.1885421129846,1755.1057243898724,1789.509047577598,0.0195119933949304,0.7676594106441021,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z54,87,1760.4929507866884,1708.4705416210245,1838.845153043528,0.0740557418104084,0.703226178496519,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z903,90,1751.6440072121602,1718.9067108519118,1846.4119806434392,0.0727917711969677,0.704719323253333,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z853,92,1749.0537134076417,1733.4415938579118,1788.27569066029,0.0313507220401747,0.7536741680949339,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1476,94,1744.6041843952976,1725.4093001719664,1785.9085223362072,0.0346779072900198,0.7497437213282712,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z611,96,1742.9041113556978,1734.1738377077354,1772.5572901771236,0.0220226989077053,0.7646934819014245,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z351,98,1737.932676204333,1716.7444031779694,1757.6000364031177,0.0235081794505282,0.7629386646135231,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1267,101,1733.4930440096064,1638.4882440532706,1764.2036918757517,0.0725214607909234,0.7050386444157123,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1080,102,1731.1054357050994,1710.0731130297722,1798.1172869066572,0.0508600874683427,0.7306275035696101,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z660,103,1728.1128856545004,1697.1960775916289,1782.190896302856,0.0491836033495212,0.7326079558406373,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z900,105,1723.52073166413,1693.3346286690996,1754.6700059381333,0.03558725818738,0.7486694934071003,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z603,107,1720.8145835228404,1706.6269382524188,1736.4000112491117,0.0173017321457966,0.7702704207105066,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z806,110,1716.206464237556,1624.9710708557498,1754.1204591095957,0.0752528270607708,0.7018120462801282,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z747,112,1715.403498199873,1704.638368973214,1748.569304499437,0.0256096805050961,0.7604561343650348,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z651,113,1715.2316046869432,1675.7107443086918,1761.7616508826973,0.0501686806253264,0.7314442713737799,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z77,114,1714.6142693488744,1688.4456787687177,1801.828323551816,0.0661272023743016,0.7125922641968735,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1268,115,1713.7088305563882,1703.490701370925,1751.1494250921298,0.0278102807614824,0.7578565369537295,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1018,116,1712.0279485617266,1692.2444568215865,1727.5502405781128,0.020622200581589,0.7663479086027501,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z499,117,1711.3072586537278,1695.7826244972678,1727.1395150040569,0.0183233550539938,0.7690635644176509,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1137,118,1710.057066845231,1696.9930804321236,1751.7610247949874,0.0320269688215151,0.7528753090667782,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z503,119,1708.7547774692337,1689.8976983996745,1727.5501448748353,0.0220350204556129,0.7646789262982653,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1143,120,1708.169032374935,1649.290571635157,1745.0485925113917,0.0560588671620503,0.7244861181932846,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1200,121,1707.4513883106729,1672.4629526410083,1732.3861264064678,0.035095097978014,0.7492508885980271,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z858,123,1706.5994102036518,1697.7686575532737,1732.574545113329,0.0203948784652993,0.7666164471450521,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z850,124,1706.5899827460523,1674.8788053382514,1728.406198234307,0.0313651160719493,0.7536571642399036,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z610,125,1705.8438916866885,1693.4029532112804,1714.6979818517757,0.0124835741091403,0.7759621728235961,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z855,127,1705.230166757312,1691.947706395593,1777.979655842913,0.050451810626198,0.7311098062590038,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1217,128,1702.9541054294102,1687.6264721699968,1721.2705396649403,0.0197562972411755,0.7673708113655974,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z799,129,1702.4514167885643,1667.1207065887877,1762.994791903216,0.0563153135349269,0.7241831747917585,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1142,131,1700.893120679592,1647.5360422917258,1733.5685984181798,0.050580812562802,0.7309574146106451,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z701,132,1700.5926096477488,1623.1279890459186,1728.9565378160687,0.0622303943753293,0.7171956136498621,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
