run_id,city,city_slug,hotspot_rank,cell_id,centroid_latitude,centroid_longitude,p10,p50,p90,uncertainty_width,relative_uncertainty,confidence_score,confidence_band,hotspot_priority_class,planning_interpretation,verification_need
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,37,Z1076,43.2392005730523,76.90923751770487,1802.4506416061956,1821.8048642637305,1851.5990594485083,49.14841784231296,0.0269778716735263,0.7588398725249754,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,38,Z1615,43.22936846492894,76.95818706065755,1804.4079023254756,1819.5992605722715,1847.2534075668727,42.84550524139781,0.0235466710554293,0.7628931939851491,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,39,Z1405,43.24318241417438,76.94015423120851,1813.3007214822196,1819.0674558459305,1848.424697510056,35.12397602783688,0.0193087814940337,0.7678994674785883,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,254,Z1546,51.08938857702796,71.42759578559381,1494.8005327726617,1852.6500239936415,2160.571907693108,665.7713749204461,0.3593616529285355,0.3795981455066608,low,high_value_low_confidence,Potentially important but requires local verification.,Local verification recommended before strong interpretation.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,281,Z1757,51.14733860619154,71.4520852582022,1362.035555988709,1781.168816405123,2037.9206643695989,675.88510838089,0.3794615659985602,0.3629338608595072,low,high_value_low_confidence,Potentially important but requires local verification.,Local verification recommended before strong interpretation.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,309,Z1174,51.19808344146054,71.39036242118051,1346.9166182538231,1713.528020915816,2149.165937903241,802.2493196494179,0.4681857021635665,0.2893751218253857,low,high_value_low_confidence,Potentially important but requires local verification.,Local verification recommended before strong interpretation.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,344,Z1536,51.04446694814008,71.42524575472522,1288.92056679926,1638.843654935693,1869.677763778848,580.757196979588,0.3543701043296753,0.3837365010503748,low,high_value_low_confidence,Potentially important but requires local verification.,Local verification recommended before strong interpretation.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,1651,Z1274,51.05403983748244,71.39720522307194,0.0015268747330105,0.002535832196932,0.0026968622030859,0.0011699874700754,0.4613820549683525,0.2950158384346997,low,low_value_high_uncertainty,Caution zone; avoid strong conclusions without additional evidence.,Additional evidence required; avoid definitive prioritization.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,1669,Z529,51.105181460186365,71.31413473247247,0.0018310336003813,0.0025145797621754,0.0027522140053263,0.0009211804049449,0.3663357268683553,0.373816132774637,low,low_value_high_uncertainty,Caution zone; avoid strong conclusions without additional evidence.,Additional evidence required; avoid definitive prioritization.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,1673,Z358,51.10111083010544,71.29250436876637,0.0017434359295197,0.0025092628916194,0.0026864808640237,0.0009430449345039,0.3758254815202981,0.3659484384119454,low,low_value_high_uncertainty,Caution zone; avoid strong conclusions without additional evidence.,Additional evidence required; avoid definitive prioritization.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,1674,Z2300,51.20467293555263,71.5052401287679,0.0022133780570725,0.0025078574730401,0.0122705649567126,0.0100571868996401,4.010270522849232,0.277535,low,low_value_high_uncertainty,Caution zone; avoid strong conclusions without additional evidence.,Additional evidence required; avoid definitive prioritization.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,1677,Z1254,51.25633477163312,71.40055014937508,0.0017460696017481,0.0025049048429893,0.0026806437088203,0.0009345741070722,0.3730976486743178,0.3682100095369998,low,low_value_high_uncertainty,Caution zone; avoid strong conclusions without additional evidence.,Additional evidence required; avoid definitive prioritization.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,1687,Z1,51.1037208692827,71.22400310706887,0.0018707446732765,0.0024894345481456,0.002717440821671,0.0008466961483944,0.3401158504147715,0.3955543106022481,low,low_value_high_uncertainty,Caution zone; avoid strong conclusions without additional evidence.,Additional evidence required; avoid definitive prioritization.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,1687,Z1810,51.05734790817078,71.45446197351419,0.0018707446732765,0.0024894345481456,0.002717440821671,0.0008466961483944,0.3401158504147715,0.3955543106022481,low,low_value_high_uncertainty,Caution zone; avoid strong conclusions without additional evidence.,Additional evidence required; avoid definitive prioritization.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,1690,Z3430,51.10863255430231,71.72106917165378,0.001684328833994,0.0024864594805474,0.0026151575628532,0.0009308287288591,0.3743590982042555,0.3671641764549529,low,low_value_high_uncertainty,Caution zone; avoid strong conclusions without additional evidence.,Additional evidence required; avoid definitive prioritization.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,1697,Z3121,51.17104555748132,71.60356460700693,0.0018401117631274,0.002478172555226,0.0027185412515187,0.0008784294883913,0.3544666357227093,0.3836564695295766,low,low_value_high_uncertainty,Caution zone; avoid strong conclusions without additional evidence.,Additional evidence required; avoid definitive prioritization.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,1711,Z3077,51.13976385704691,71.59465487799933,0.0018022115543735,0.0024652479186441,0.0027418394663845,0.0009396279120109,0.3811494596161169,0.3615344747229062,low,low_value_high_uncertainty,Caution zone; avoid strong conclusions without additional evidence.,Additional evidence required; avoid definitive prioritization.
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,1711,Z550,51.19952299887024,71.31886072538461,0.0018022115543735,0.0024652479186441,0.0027186537659025,0.0009164422115289,0.3717444418462349,0.3693319160691866,low,low_value_high_uncertainty,Caution zone; avoid strong conclusions without additional evidence.,Additional evidence required; avoid definitive prioritization.
